曲名,舞萌ID,舞萌类型,舞萌分类,舞萌谱面,舞萌BPM,舞萌版本,舞萌追加日期,舞萌是否锁定,舞萌别名,中二No.,中二分类,中二创作者,中二谱面,中二BPM,中二版本,中二别名
ゴーストルール,601,DX/STD,niconico＆ボーカロイド,DX 3 | DX 7+ | DX 9+ | DX 13 ; STD 5 | STD 8 | STD 10+ | STD 13,210,MURASAKi,2016-12-15,否,ゴーストルール|👻|标准幽灵法则|幽灵法则|ghost rule|露露|小吹爆|幽灵|露露小姐|法则|dx幽灵法则|口一又卜儿一儿|幽灵规则,418,niconico,DECO*27,STD 3 | STD 5 | STD 9+ | STD 13+,210,STAR PLUS,幽灵法则|初音未来
AMAZING MIGHTYYYY!!!!,599,STD,maimai,STD 7+ | STD 9+ | STD 13+ | STD 14+ | STD 14,185,PiNK PLUS,2016-11-17,否,amazing mightyyyy!!!!|！！！！|不可思议的大概概概概|恋爱裁判3|四个感叹号|惊异全能|am|恋爱裁判2|惊人强大|这么强？|惊人的强大|太神奇了，太强大了！|樱羽艾玛,378,ゲキマイ,WAiKURO,STD 4 | STD 8+ | STD 12 | STD 14+,185,STAR,am
ECHO,598,STD,niconico＆ボーカロイド,STD 4 | STD 7+ | STD 11 | STD 13,140,PiNK PLUS,2016-11-17,否,echo|A口|回声|人形师单手鸟|诶口|一口|电视头,262,niconico,CIRCRUSH,STD 3 | STD 5 | STD 9+ | STD 12+,140,AIR PLUS,回声|恶臭
木彫り鯰と右肩ゾンビ,597,STD,niconico＆ボーカロイド,STD 6 | STD 8 | STD 10+ | STD 13+,150,PiNK PLUS,2016-11-17,否,木彫り鯰と右肩ゾンビ|右肩|僵尸|木雕鲇鱼|木雕|鲷鱼烧|右肩僵尸|肩周炎|木雕鲶鱼与右肩僵尸|木彫|大连海事大学校歌|木鲶鱼|木雕鲶鱼|拔小蒜|绸鱼烧,366,niconico,hanzo,STD 3 | STD 5 | STD 9+ | STD 12+,150,STAR,木雕
終わりなき物語,595,STD,ゲーム＆バラエティ,STD 5 | STD 7+ | STD 10+ | STD 12+,150,PiNK PLUS,2016-11-04,否,終わりなき物語|终物语|无尽物语|物语,375,POPS & ANIME,クーナ(CV.喜多村英梨)「PHANTASY STAR ONLINE 2」,STD 3 | STD 5 | STD 8 | STD 12+,150,STAR,
ハート・ビート,594,STD,オンゲキ＆CHUNITHM,STD 6 | STD 8 | STD 10+ | STD 13,212,PiNK PLUS,2016-11-04,否,ハート・ビート|心跳2|心跳节拍|心跳|serina|heart beat|架子鼓|heartbeat,131,イロドリミドリ,明坂 芹菜(CV:新田 恵海),STD 3 | STD 6 | STD 10 | STD 12,212,CHUNITHM PLUS,
CITRUS MONSTER,593,STD,maimai,STD 7 | STD 9 | STD 12+ | STD 14,220,PiNK PLUS,2016-10-20,否,citrus monster|欧润吉|柑橙怪兽|柚子怪兽|橘怪|橘子怪兽|cm|🍊|桔子怪兽,508,ゲキマイ,D-Cee,STD 4 | STD 8 | STD 12 | STD 14+,220,AMAZON,橘子怪兽|橘子|citrusmonster|cm|理财产品
エテルニタス・ルドロジー,591,STD,東方Project,STD 5 | STD 7+ | STD 11 | STD 13+,178,PiNK PLUS,2016-10-06,否,エテルニタス・ルドロジー|aeternitas ludology|东方鼓动|永恒游戏学|八云紫,122,東方Project,IRON ATTACK!,STD 3 | STD 7 | STD 10 | STD 13+,178,AIR,
ひれ伏せ愚民どもっ！,590,STD,東方Project,STD 5 | STD 7+ | STD 10+ | STD 13,180,PiNK PLUS,2016-10-06,否,ひれ伏せ愚民どもっ！|佩恩|愚民|辉夜,121,東方Project,ARM＋夕野ヨシミ (IOSYS) feat.miko,STD 3 | STD 6 | STD 10 | STD 13+,180,AIR,
No Routine,589,STD,東方Project,STD 6 | STD 7 | STD 11 | STD 13,163,PiNK PLUS,2016-10-06,否,no routine|画苍浅学姐|绿色女人|东方龙|没有日常|三梦奇缘|杨墓|没门|龙女|蒙娜丽莎,212,東方Project,A-One,STD 2 | STD 6 | STD 9 | STD 12+,163,AIR,
Hyper Active,588,STD,maimai,STD 6 | STD 9 | STD 13 | STD 13+,160,PiNK PLUS,2016-09-22,否,hyper active|我们仨|黄卡车|泥头车|小黄车|撞大运|卡车|擎天柱|大卡车|大运重卡|百吨王,353,ゲキマイ,HiTECH NINJA,STD 3 | STD 7 | STD 10+ | STD 14,160,STAR,泥头车
brilliant better,587,STD,オンゲキ＆CHUNITHM,STD 5 | STD 7 | STD 11+ | STD 13,172,PiNK PLUS,2016-09-22,否,brilliant better|bb|黄色吉他|更精彩|金毛弹吉他,95,イロドリミドリ,御形 アリシアナ(CV:福原 綾香),STD 3 | STD 5 | STD 10 | STD 12 | STD 13+,172,CHUNITHM,
セハガガガンバッちゃう！！,586,STD,POPS＆アニメ,STD 6 | STD 8 | STD 11 | STD 13,202,PiNK PLUS,2016-09-22,否,セハガガガンバッちゃう！！|世嘉硬件娘|SBGA|sega hard girls|好几个娘们|世嘉硬件女孩,341,POPS & ANIME,Hi☆sCoool! セハガール,STD 3 | STD 6 | STD 9+ | STD 13,202,STAR,
Barbed Eye,585,STD,maimai,STD 5 | STD 7+ | STD 10+ | STD 13,135,PiNK PLUS,2016-09-08,否,barbed eye|狗谷爱|坏眼|爸爸的爱,285,ゲキマイ,柿チョコ×みきとP,STD 3 | STD 5 | STD 9 | STD 12,135,AIR PLUS,
Hand in Hand,583,STD,niconico＆ボーカロイド,STD 4 | STD 6 | STD 10 | STD 12+,128,PiNK PLUS,2016-08-31,否,hand in hand|手牵手|手拉手|hih|难忘今宵|握握手|诺基亚|手在手里面,178,niconico,livetune,STD 3 | STD 5 | STD 8+ | STD 11+,128,AIR,手拉手
洗脳,578,STD,maimai,STD 4 | STD 7 | STD 10+ | STD 12 | STD 12+,125,PiNK PLUS,2016-07-28,否,洗脳|洗脑,153,ゲキマイ,ゆりん・柿チョコ×Neru,STD 2 | STD 5 | STD 8 | STD 11+,125,CHUNITHM PLUS,洗脑
Infantoon Fantasy,577,STD,オンゲキ＆CHUNITHM,STD 6 | STD 8+ | STD 10+ | STD 13+,185,PiNK PLUS,2016-07-28,否,infantoon fantasy|中指|两茄子|中指机器人|竖中指|🖕|🖕🏻|竖中指机器人|if,34,ORIGINAL,t+pazolite,STD 5 | STD 7 | STD 9+ | STD 13 | STD 14,185,CHUNITHM,银莲花幻想|银莲花|NEO比中指
パーフェクト生命,576,STD,niconico＆ボーカロイド,STD 6 | STD 8 | STD 10 | STD 13,200,PiNK PLUS,2016-07-14,否,パーフェクト生命|完美生命|✌🏻😎✌🏻|生命,315,niconico,ナユタン星人,STD 3 | STD 6 | STD 10 | STD 13,200,STAR,完美生命
高気圧ねこロック,575,STD,maimai,STD 6 | STD 8+ | STD 11+ | STD 13+,260,PiNK PLUS,2016-06-30,否,高気圧ねこロック|高血压流汗黄豆|高气压猫猫头|高气压猫|高气压猫摇滚|高气压|马香远|高血压,369,ゲキマイ,小野隊長とJimmy親分,STD 3 | STD 6 | STD 10 | STD 13,260,AMAZON,高气压
月に叢雲華に風,573,DX/STD,東方Project,DX 2 | DX 6 | DX 9 | DX 12+ ; STD 4 | STD 7 | STD 10 | STD 13,160,PiNK PLUS,2016-06-30,否,月に叢雲華に風|月遇丛云花遇风|月映丛云|摇摆阳|月风|月丛云华风|丛云伴月|小五|月云华风|月华|月丛云|闲云遮月清风袭花|月映从云花语风|丛云华|月从云华风|月隐於丛云花散於风,206,東方Project,幽閉サテライト,STD 3 | STD 5 | STD 8 | STD 12,160,AIR,
Invitation,572,STD,オンゲキ＆CHUNITHM,STD 4 | STD 7+ | STD 9+ | STD 13,147,PiNK PLUS,2016-06-30,否,invitation|！？|邀请,23,ORIGINAL,れるりり feat.ろん,STD 3 | STD 6 | STD 8 | STD 11+ | STD 13+,147,CHUNITHM,邀请|邀请函
恋愛裁判,569,STD,niconico＆ボーカロイド,STD 4 | STD 7 | STD 10 | STD 11+,134,PiNK PLUS,2016-06-30,否,恋愛裁判|恋爱裁判|情人节|逆转裁判|18z|有罪|恋爱审判,150,niconico,40mP,STD 2 | STD 5 | STD 8+ | STD 11+,134,CHUNITHM PLUS,恋爱裁判
儚きもの人間,567,STD,東方Project,STD 5 | STD 8 | STD 10+ | STD 13+,180,PiNK PLUS,2016-06-30,否,儚きもの人間|少女炼狱|人间|梦人间,297,東方Project,豚乙女,STD 3 | STD 6 | STD 9+ | STD 13,180,STAR,
無敵We are one!!,566,STD,オンゲキ＆CHUNITHM,STD 5 | STD 8+ | STD 10 | STD 13+,190,PiNK PLUS,2016-06-30,否,無敵we are one!!|无敌|我们是一|奢香夫人|我们是无敌1|我们是1|无敌！我们是1|无敌我们是1|无敌we are one|无敌我们是一,132,イロドリミドリ,イロドリミドリ,STD 3 | STD 6 | STD 9+ | STD 12+,190,CHUNITHM PLUS,
Jimang Shot,564,STD,東方Project,STD 6 | STD 7+ | STD 10+ | STD 13,164,PiNK,2016-05-12,否,jimang shot|囧仙|报纸歌|大叔唱歌|2015,113,東方Project,じまんぐ,STD 3 | STD 5 | STD 9+ | STD 13+,164,CHUNITHM PLUS,
少女幻葬戦慄曲 ～ Necro Fantasia,563,STD,東方Project,STD 6 | STD 8 | STD 10+ | STD 13+,182,PiNK,2016-05-12,否,少女幻葬戦慄曲 ～ necro fantasia|幻葬|少女幻葬|死灵幻想曲,74,東方Project,どぶウサギ,STD 3 | STD 6 | STD 9+ | STD 13+,182,CHUNITHM PLUS,少女幻葬
蒼空に舞え、墨染の桜,562,STD,東方Project,STD 6 | STD 7 | STD 11 | STD 13,150,PiNK,2016-05-12,否,蒼空に舞え、墨染の桜|妖梦|苍空舞|苍空飞舞墨染之樱|苍空|糯香柠檬茶|墨染|墨染樱,50,東方Project,Silver Forest,STD 3 | STD 5 | STD 8+ | STD 12+,150,CHUNITHM PLUS,
東方妖々夢 ～the maximum moving about～,561,STD,東方Project,STD 6 | STD 8 | STD 9+ | STD 13,196,PiNK,2016-05-12,否,東方妖々夢 ～the maximum moving about～|妖妖梦|东方不可拘束|东方妖梦|东方妖妖梦|车万不可拘束,73,東方Project,石鹸屋,STD 3 | STD 6 | STD 9+ | STD 14,198,CHUNITHM PLUS,妖梦
橙の幻想郷音頭,560,STD,東方Project,STD 5 | STD 7 | STD 11 | STD 13,136,PiNK,2016-05-12,否,橙の幻想郷音頭|橙|幻想乡音头|音头|🐱|橙舞|欢乐斗地主|橙音头|橙之幻想乡|橙的幻想乡音头,75,東方Project,発熱巫女～ず,STD 1 | STD 4 | STD 8 | STD 10+,136,CHUNITHM PLUS,幻想乡音头
FEEL the BEATS,558,STD,maimai,STD 5 | STD 8+ | STD 11+ | STD 13+ | STD 13+,166,PiNK,2016-04-21,否,feel the beats|ftb|感受节拍|fb,505,ゲキマイ,A-One,STD 3 | STD 6 | STD 9+ | STD 12,166,AMAZON,
頓珍漢の宴,556,STD,niconico＆ボーカロイド,STD 5 | STD 8+ | STD 11+ | STD 13+,145,PiNK,2016-04-07,否,頓珍漢の宴|珍顿汉|🥓|顿珍汉|🙏|顿珍汉宴|初音上菜|吃饭|顿珍汉之宴|顿震撼|汉尼拔之宴|顿珍汉吃席|顿珍宴,419,niconico,ピノキオピー,STD 3 | STD 6 | STD 10 | STD 14,145,STAR PLUS,顿珍汉之宴
ありふれたせかいせいふく,555,STD,niconico＆ボーカロイド,STD 5 | STD 7+ | STD 9+ | STD 13+,150,PiNK,2016-04-07,否,ありふれたせかいせいふく|世界征服|初音围巾|围巾初音白背景|司空见惯的世界征服|司空见惯|红围巾,1669,niconico,ピノキオピー,STD 3 | STD 5 | STD 9 | STD 13+,150,VERSE,
オモイヨシノ,553,STD,ゲーム＆バラエティ,STD 4 | STD 7+ | STD 10+ | STD 13,168,PiNK,2016-03-03,否,オモイヨシノ|恋咏樱,275,VARIETY,loos feat. 柊莉杏,STD 3 | STD 5 | STD 8 | STD 11+,168,STAR PLUS,
ラブリー☆えんじぇる!!,552,STD,POPS＆アニメ,STD 5 | STD 7 | STD 10 | STD 12,173,PiNK,2016-03-03,否,ラブリー☆えんじぇる!!|女同14|可爱天使,249,POPS & ANIME,あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」,STD 3 | STD 6 | STD 9+ | STD 12+,173,AIR PLUS,
7thSense,551,STD,maimai,STD 6 | STD 8+ | STD 11+ | STD 14,150,PiNK,2016-02-18,否,7thsense|阿玛希斯特之死|7s|旗杆|第七个sensei|阿斯特瑞之死|七感|7|七拍子|7感|7th|第七感,1725,ゲキマイ,削除,STD 4 | STD 7 | STD 12 | STD 14+,150,VERSE,
厨病激発ボーイ,544,STD,niconico＆ボーカロイド,STD 6 | STD 8 | STD 10+ | STD 13+,190,PiNK,2019-03-08,否,,416,niconico,れるりり,STD 3 | STD 5 | STD 9 | STD 13,190,STAR PLUS,厨病激发
アージェントシンメトリー,541,STD,maimai,STD 5 | STD 7 | STD 10+ | STD 13 | STD 14,172,PiNK,2015-12-09,否,アージェントシンメトリー|pink op|草莓章鱼|银对称性|银色对称|银对称|银色对称性|桃代主题曲|科目二|pink主题曲|方向盘|argent symmetry|白银对称|白银|sta|白银对称性,1762,ゲキマイ,Sta feat.b,STD 3 | STD 6 | STD 10 | STD 14,172,X-VERSE,
閃鋼のブリューナク,540,STD,オンゲキ＆CHUNITHM,STD 5 | STD 8+ | STD 11+ | STD 13+,140,PiNK,2015-12-09,否,閃鋼のブリューナク|闪钢,86,ORIGINAL,sasakure.UK,STD 4 | STD 9 | STD 13+ | STD 14+,140,CHUNITHM,闪钢
すろぉもぉしょん,539,STD,niconico＆ボーカロイド,STD 4 | STD 7 | STD 9+ | STD 12+,160,PiNK,2015-12-09,否,,115,niconico,ピノキオピー,STD 3 | STD 5 | STD 8 | STD 11+ | STD 14,160,CHUNITHM,slow motion
物凄い勢いでけーねが物凄いうた,538,STD,東方Project,STD 5 | STD 7 | STD 9+ | STD 13,180,PiNK,2015-12-09,否,物凄い勢いでけーねが物凄いうた|以惊人的气势发出了惊人的声音|物凄势|物凄|罪|白泽球|慧音|三倍ice☆cream|东方之血,324,東方Project,Halozy,STD 3 | STD 6 | STD 9 | STD 12 | STD 13+,180,STAR PLUS,
幾四音-Ixion-,535,STD,オンゲキ＆CHUNITHM,STD 5 | STD 8+ | STD 10+ | STD 13,210,PiNK,2015-12-09,否,幾四音-ixion-|几四音|急死银|幾四音|第四爱,104,ORIGINAL,M.S.S Project,STD 3 | STD 6 | STD 9+ | STD 12 | STD 14,210,CHUNITHM,几四音
りばーぶ,534,STD,maimai,STD 3 | STD 7 | STD 9+ | STD 11,120,PiNK,2015-12-09,否,りばーぶ|reverb|两个人喝茶|混响|友人对战,284,ゲキマイ,高橋菜々×岡部啓一(MONACA),STD 2 | STD 5 | STD 8 | STD 11,120,AIR PLUS,
言ノ葉遊戯,533,STD,maimai,STD 4 | STD 7+ | STD 10+ | STD 12+,164,PiNK,2015-12-09,否,言ノ葉遊戯|言叶游戏|文字游戏|游戏,102,ゲキマイ,S!N・高橋菜々×ひとしずく・やま△,STD 3 | STD 6 | STD 9+ | STD 11+,164,CHUNITHM,言叶游戏
Counselor,532,STD,オンゲキ＆CHUNITHM,STD 4 | STD 7+ | STD 10+ | STD 12,135,PiNK,2015-12-09,否,counselor|小护士|律师,38,ORIGINAL,DECO*27 feat.echo,STD 3 | STD 6 | STD 9+ | STD 12 | STD 13,135,CHUNITHM,顾问
初音ミクの消失,530,DX/STD,niconico＆ボーカロイド,DX 6 | DX 8 | DX 12 | DX 14 ; STD 6 | STD 8+ | STD 11+ | STD 13+,240,PiNK,2015-12-09,否,初音ミクの消失|标准消失|初音没有来|初音没来|消失|初音未来的消失|誓死守护公主殿下|标消失|dx消失|绿南十字|暴走p的消失,2,niconico,cosMo＠暴走P,STD 5 | STD 8 | STD 12 | STD 14+,240,AIR,消失
最終鬼畜妹・一部声,528,STD,東方Project,STD 6 | STD 8 | STD 11+ | STD 13+,200,ORANGE PLUS,2015-11-12,否,最終鬼畜妹・一部声|鬼叫|鬼畜妹一部声|蓝蓝路|一部声|易卜生|鬼畜妹|月女儿|月儿子青春版|最终鬼畜妹,49,東方Project,ビートまりお,STD 3 | STD 7 | STD 10 | STD 14,200,CHUNITHM,最终鬼畜妹
四次元跳躍機関,527,STD,東方Project,STD 3 | STD 7 | STD 10+ | STD 13,135,ORANGE PLUS,2015-11-12,否,四次元跳躍機関|四次元跳跃机关|大小姐|跳楼机|机关|跳跃机关|四次元|冰风,72,東方Project,koutaq,STD 2 | STD 5 | STD 8 | STD 13+,135,CHUNITHM,四次元跳跃机关
Yet Another ”drizzly rain”,526,STD,東方Project,STD 4 | STD 7+ | STD 10 | STD 12+,175,ORANGE PLUS,2015-11-12,否,yet another ”drizzly rain”|姆q|帕秋莉,48,東方Project,myu314 feat.あまね（COOL&CREATE）,STD 3 | STD 5 | STD 9+ | STD 12,175,CHUNITHM,
Aiolos,525,STD,maimai,STD 6 | STD 8+ | STD 12+ | STD 14,205,ORANGE PLUS,2015-10-15,否,aiolos|艾欧洛斯|阿米诺斯|艾俄洛斯|肉包|aio,1370,ゲキマイ,xi,STD 4 | STD 9 | STD 13+ | STD 15,205,SUN PLUS,啊米诺斯
ストリーミングハート,523,STD,niconico＆ボーカロイド,STD 3 | STD 8 | STD 10+ | STD 13,210,ORANGE PLUS,2015-09-17,否,ストリーミングハート|嘉然|流心|嘉然比心,66,niconico,DECO*27,STD 3 | STD 6 | STD 8 | STD 11+ | STD 14,210,CHUNITHM,
Sweet Devil,521,STD,niconico＆ボーカロイド,STD 4 | STD 7 | STD 11 | STD 12+,132,ORANGE PLUS,2015-07-16,否,,67,niconico,八王子P,STD 2 | STD 6 | STD 9 | STD 12+,132,CHUNITHM,恶魔|wqn cheng
六兆年と一夜物語,520,DX/STD,niconico＆ボーカロイド,DX 4 | DX 7+ | DX 9 | DX 13+ ; STD 5 | STD 7+ | STD 10+ | STD 13+,186,ORANGE PLUS,2015-07-16,否,六兆年と一夜物語|希腊奶|标六兆年|6m|六兆年|6000000000000年|六兆年零一夜物语|dx希腊奶|dx六兆年|安慕希,17,niconico,kemu,STD 3 | STD 5 | STD 9+ | STD 13 | STD 14,186,CHUNITHM,六兆年|lzn
Change Our MIRAI！,519,DX/STD,オンゲキ＆CHUNITHM,DX 4 | DX 7+ | DX 10+ | DX 12+ ; STD 4 | STD 8 | STD 11 | STD 13,256,ORANGE PLUS,2015-07-16,否,change our mirai！|改变未来|四对奶子|com|五个女人|五对奶子|中年男人|四大一小|五对柰子|小心彩绿|不含月铃姐妹|dx五对奶子|改变我们的未来,90,イロドリミドリ,イロドリミドリ,STD 3 | STD 5 | STD 8+ | STD 12 | STD 14+,256,CHUNITHM,
キャプテン・ムラサのケツアンカー,516,STD,東方Project,STD 6 | STD 7 | STD 11 | STD 13,190,ORANGE PLUS,2015-07-16,否,キャプテン・ムラサのケツアンカー|村纱水蜜|船长,889,東方Project,ARM＋夕野ヨシミ (IOSYS) feat.山本椛,STD 3 | STD 6 | STD 9+ | STD 13,190,CHUNITHM NEW,
Oshama Scramble!,512,DX/STD,maimai,DX 4 | DX 8+ | DX 11 | DX 13+ ; STD 6 | STD 8+ | STD 11+ | STD 14,190,ORANGE PLUS,2015-06-25,否,oshama scramble!|标奶|😄😄|女同15|猫娘贴贴|牛乳|牛奶猫|丰胸奶|每日一瓶奶，强健音游人|🥛|奶猫|标牛奶|牛奶|😸😸|巧克力与香子兰|os!|牛奶猫标准|两只猫和谐共处|dx奶|凯尔希打嵯峨|凯尔希嵯峨贴贴|dx牛奶|喝奶|dx奶猫|dx黑白哈基米|黑白哈基米|牛奶猫dx|猫抓板|一天一杯奶强壮音游人|奶牛猫|我从小喝到大|从小喝到大|正宗椰汁椰树牌,238,ゲキマイ,t+pazolite,STD 4 | STD 8 | STD 11 | STD 14 | STD 15,190,CRYSTAL PLUS,牛奶|牛奶猫
若い力 -SEGA HARD GIRLS MIX-,511,STD,POPS＆アニメ,STD 5 | STD 7 | STD 10 | STD 12+ | STD 12+,162,ORANGE PLUS,2015-06-04,否,若い力 -sega hard girls mix-|若以力|世嘉少女|年轻的力量|sbga|sega社歌|sega|世嘉社歌|世嘉女孩|若力|世嘉硬件女孩|若力二次元版,277,POPS & ANIME,セガ・ハード・ガールズ,STD 3 | STD 6 | STD 8 | STD 11+,162,AIR PLUS,
ウミユリ海底譚,510,STD,niconico＆ボーカロイド,STD 4 | STD 7 | STD 9+ | STD 13,120,ORANGE PLUS,2015-05-14,否,ウミユリ海底譚|海百合|海百合海底谭|水神3|在海下面|初音跳海|海底潭|谭|海魔王|初音未来跳海|海底谭|海底捞|舞萌科目二|umiyuri,151,niconico,n-buna,STD 3 | STD 5 | STD 9+ | STD 12+,120,CHUNITHM PLUS,海底谭|地雷|屎|百合花
悪戯,506,STD,maimai,STD 5 | STD 7 | STD 10 | STD 12+,140,ORANGE PLUS,2015-04-16,否,悪戯|恶戏|恶习,283,ゲキマイ,ろん×田中秀和(MONACA),STD 3 | STD 5 | STD 9+ | STD 12+,140,AIR PLUS,恶戏
L9,503,STD,ゲーム＆バラエティ,STD 5 | STD 8 | STD 11 | STD 13+,256,ORANGE PLUS,2015-03-19,否,l9|轴交互|绿9,15,VARIETY,paraoka,STD 4 | STD 6 | STD 9+ | STD 13+ | STD 15,252,CHUNITHM,l9|屎|大便
ってゐ！ ～えいえんてゐVer～,502,STD,東方Project,STD 3 | STD 7 | STD 9+ | STD 12 | STD 13,156,ORANGE PLUS,2015-03-19,否,ってゐ！ ～えいえんてゐver～|永远亭|因幡帝|翘屁股|屁股|翘臀|帝帝|粉裙子,119,東方Project,石鹸屋,STD 3 | STD 5 | STD 9+ | STD 11+,159,AIR,
ケロ⑨destiny,501,DX/STD,東方Project,DX 3 | DX 6 | DX 10 | DX 13 ; STD 4 | STD 7 | STD 10+ | STD 13,172,ORANGE PLUS,2015-03-19,否,ケロ⑨destiny|9|acc|kero|⑨|kero9destiny,319,東方Project,Silver Forest,STD 3 | STD 5 | STD 9+ | STD 13+,172,STAR,
ロストワンの号哭,500,STD,niconico＆ボーカロイド,STD 4 | STD 6 | STD 10+ | STD 13+ | STD 14,162,ORANGE PLUS,2015-03-19,否,ロストワンの号哭|号哭|哭哭|kappa|没有1我要哭了|失去1的号哭|lost one的号哭|lost one 的号哭|鹅哭,44,niconico,Neru,STD 3 | STD 6 | STD 9 | STD 13 | STD 14,162,CHUNITHM,号哭
みくみくにしてあげる♪【してやんよ】,499,STD,niconico＆ボーカロイド,STD 4 | STD 6 | STD 9 | STD 11+,160,ORANGE PLUS,2015-03-19,否,みくみくにしてあげる♪【してやんよ】|📉|狗·眼·①·瞎|飞龙|把你mikumiku掉|mikumiku,221,niconico,ika,STD 3 | STD 5 | STD 8 | STD 11+,160,AIR,
Caliburne ～Story of the Legendary sword～,497,STD,maimai,STD 5 | STD 9 | STD 12+ | STD 14,190,ORANGE,2015-03-05,否,caliburne ～story of the legendary sword～|生煎1|圣剑|生煎|咖喱棒|圣剑1|石中剑|圣剑一|福瑞|福瑞1|福瑞跑步|咖喱棒 ～圣剑传说～|额滴圣剑,356,ゲキマイ,Project Grimoire,STD 4 | STD 8 | STD 12+ | STD 14+,190,STAR,圣剑|生煎|生煎1|圣剑1
究極焼肉レストラン！お燐の地獄亭！,491,STD,東方Project,STD 6 | STD 7 | STD 10+ | STD 12+,185,ORANGE,2015-01-08,否,究極焼肉レストラン！お燐の地獄亭！|究极烧肉|烤肉,457,東方Project,ARM＋夕野ヨシミ (IOSYS) feat.藤枝あかね,STD 3 | STD 6 | STD 8 | STD 12,185,AMAZON,
Cosmic Magic Shooter,489,STD,東方Project,STD 5 | STD 7+ | STD 10+ | STD 13+,163,ORANGE,2015-01-08,否,cosmic magic shooter|魔术射手|魔弹射手|魔法射手|感情的摩天楼|宇宙魔术射手|cms|摩天轮|宇宙魔法射手,637,東方Project,SOUND HOLIC feat. Nana Takahashi,STD 3 | STD 6 | STD 9 | STD 12+,163,CRYSTAL,
アンハッピーリフレイン,487,STD,niconico＆ボーカロイド,STD 5 | STD 8 | STD 11+ | STD 13,205,ORANGE,2014-12-18,否,アンハッピーリフレイン|副歌|ur|unhappy refrain|不高兴的副歌|unhappy|💗|不开心,257,niconico,wowaka,STD 3 | STD 7 | STD 9+ | STD 13+,205,AIR PLUS,unhappy refrain|ur
VERTeX,483,STD,maimai,STD 5 | STD 8+ | STD 11+ | STD 14+,237,ORANGE,2014-11-26,否,vertex|🌊|芙卡洛斯|水神一|羽落心弦|水神1|芙宁娜|水神,344,ゲキマイ,Hiro「maimai」より,STD 4 | STD 8+ | STD 12 | STD 14+,237,STAR,水神|vertex|芙宁娜
FLOWER,479,STD,ゲーム＆バラエティ,STD 6 | STD 8 | STD 11+ | STD 13+ | STD 14,173,ORANGE,2014-10-29,否,flower|全機種制霸|🌹|花|花神|扶寿二|扶老二,135,VARIETY,DJ YOSHITAKA,STD 3 | STD 5 | STD 9+ | STD 13 | STD 14,173,CHUNITHM,花|扶老二|街机公交车
おこちゃま戦争,474,STD,niconico＆ボーカロイド,STD 6 | STD 7 | STD 10+ | STD 13,175,ORANGE,2014-09-18,否,おこちゃま戦争|孩子气|孩子气的战争|孩子气战争|战争,254,niconico,ギガ/れをる,STD 4 | STD 7 | STD 10 | STD 13+,175,AIR PLUS,孩子气的战争
B.B.K.K.B.K.K.,473,STD,ゲーム＆バラエティ,STD 6 | STD 8+ | STD 12+ | STD 14,170,ORANGE,2014-09-18,否,b.b.k.k.b.k.k.|汉堡王|↑↑↓↓↑↓↓|bbk|bbkk|bbkkbkk|bass kick|↑↓|bk|鲈鱼踢踢鲈鱼踢,1,VARIETY,nora2r,STD 4 | STD 6 | STD 10 | STD 12+ | STD 13+,170,CHUNITHM,bbkkbkk|bk
明星ロケット,470,STD,東方Project,STD 5 | STD 7+ | STD 10 | STD 12 | STD 12+,163,ORANGE,2014-09-18,否,明星ロケット|幻想事变|明星火箭|明星|明星rocket,942,東方Project,岸田教団&THE明星ロケッツ,STD 2 | STD 5 | STD 9 | STD 13,163,PARADISE LOST,
緋色のDance,469,STD,東方Project,STD 5 | STD 7+ | STD 10+ | STD 13 | STD 13+,155,ORANGE,2014-09-18,否,緋色のdance|绯色dance|绯色|绯色之舞,94,東方Project,岸田教団＆THE明星ロケッツ,STD 3 | STD 6 | STD 10 | STD 12+,155,CHUNITHM,绯色
ダブルラリアット,468,STD,niconico＆ボーカロイド,STD 5 | STD 6 | STD 10+ | STD 13,138,ORANGE,2014-09-18,否,ダブルラリアット|转圈歌|巡音转圈,631,niconico,アゴアニキ,STD 2 | STD 5 | STD 9 | STD 11,138,CRYSTAL,转圈歌
深海少女,467,DX/STD,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9 | DX 13 ; STD 3 | STD 7 | STD 9+ | STD 13,137,GreeN PLUS,2014-09-04,否,深海少女|深海和少女相比|深海魔男|深海邵壮|溺水双马尾|胖猫2|水神4|初音未来跳海2|dx深海少女|水神5,193,niconico,ゆうゆ,STD 3 | STD 5 | STD 8 | STD 11+,137,AIR,
シアワセうさぎ,464,STD,東方Project,STD 4 | STD 7 | STD 8+ | STD 11,140,GreeN PLUS,2014-08-22,否,シアワセうさぎ|幸福兔,1412,東方Project,ビートまりお＋あまね（COOL&CREATE）,STD 3 | STD 5 | STD 9 | STD 12,140,SUN PLUS,
