No.,乐曲类型,曲名,类型,难易度,等级,谱面定数,BPM,版本,追加日期,是否锁定,别名
712,STD,ミラクル・ショッピング,STD,MASTER,12+,12.7,167,MiLK (白),2018-02-20,否,ミラクル・ショッピング|miracle shopping|qq|乱中取胜|堂吉诃德|购物|神奇阿呦|qq企鹅|企鹅超市
702,STD,白い雪のプリンセスは,STD,MASTER,12+,12.9,200,MiLK (白),2018-01-09,否,
687,STD,ないせんのうた,STD,MASTER,12+,12.7,184,MURASAKi+ (菫),2017-12-05,否,ないせんのうた|内线云1|内线|没歌|再见im外星人|打电话|这个地球是一秒都待不下去了
685,STD,フラジール,STD,MASTER,12+,12.8,127,MURASAKi+ (菫),2017-11-21,否,フラジール|易碎品|脆弱|七海娜娜米|易碎|fragile
684,STD,エイリアンエイリアン,STD,MASTER,12+,12.8,152,MURASAKi+ (菫),2017-11-21,否,エイリアンエイリアン|河南人|常陆茉子|外星人外星人|👽|奥利奥利安|阿里安|alien|✋🏻😐✋🏻|奥利安奥利安|外星人|alien alien
679,DX/STD,チルノのパーフェクトさんすう教室　⑨周年バージョン,DX,MASTER,12+,12.8,175,でらっくす (熊),2017-10-17,否,チルノのパーフェクトさんすう教室 ⑨周年バージョン|99|笨蛋教室|9周年教室|9周年|九周年|⑨|算数教室|baka|机厅几卡|9|9周年算数教室|dxbaka|dx琪露诺|琪露诺|新琪露诺教室
657,STD,ヘルシーエンド,STD,MASTER,12+,12.9,150,MURASAKi+ (菫),2017-07-25,否,ヘルシーエンド|诈尸曲|健康结局|healthy end
655,STD,オトヒメモリー☆ウタゲーション,STD,MASTER,12+,12.9,140,MURASAKi+ (菫),2017-07-11,否,オトヒメモリー☆ウタゲーション|乙姬|乙姫
650,STD,宿題が終わらないっ！,STD,MASTER,12+,12.9,180,MURASAKi+ (菫),2017-06-22,否,宿題が終わらないっ！|宿题终|触手|作业写不完了|作业还没做完|不写作业|吱吱|-connect-少女与触手编织出的爱|宿题
648,STD,華鳥風月,STD,MASTER,12+,12.8,123,MURASAKi+ (菫),2017-06-22,否,華鳥風月|华鸟风月|かちょうふうげつ|花鸟市场|花鸟风月|四季|四季映姬
647,STD,StargazeR,STD,MASTER,12+,12.7,195,MURASAKi (紫),2017-06-06,否,stargazer|虎哥|大荒囚天指|观星者|摘星人|空条承太郎
646,STD,Just Be Friends,STD,MASTER,12+,12.8,128,MURASAKi (紫),2017-06-06,否,
639,STD,Starlight Vision,STD,MASTER,12+,12.7,180,MURASAKi (紫),2017-05-11,否,starlight vision|星光视觉|樱花灵梦|🌸|星光视界|灵梦樱
628,STD,その群青が愛しかったようだった,STD,MASTER,12+,12.7,220,MURASAKi (紫),2017-03-09,否,その群青が愛しかったようだった|那份群青仿佛是很可爱的样子|群青爱|那片群青好像很可爱|群青
627,STD,きらっせ☆ウッド村ファーム,STD,MASTER,12+,12.7,190,MURASAKi (紫),2017-03-09,否,きらっせ☆ウッド村ファーム|妖精村|木村农场|😆😆|銚子县|はっぴー酱下乡扶贫
616,STD,フォルテシモBELL,STD,MASTER,12+,12.6,121,MURASAKi (紫),2017-02-07,否,フォルテシモbell|粉毛弹吉他|bell|emu|千早爱音|fortissimo bell
608,DX/STD,色は匂へど散りぬるを,DX,MASTER,12+,12.7,138,BUDDiES (双),2016-12-15,否,色は匂へど散りぬるを|老年人活动中心|花开艳丽终散落|花艳终散|花朵艳丽终会散落|伊洛瓦|色散|dx色散|花朵艳丽
595,STD,終わりなき物語,STD,MASTER,12+,12.7,150,PiNK+ (櫻),2016-11-04,否,終わりなき物語|终物语|无尽物语|物语
583,STD,Hand in Hand,STD,MASTER,12+,12.8,128,PiNK+ (櫻),2016-08-31,否,hand in hand|手牵手|手拉手|hih|难忘今宵|握握手|诺基亚|手在手里面
581,STD,しんでしまうとはなさけない！,STD,MASTER,12+,12.9,174,PiNK+ (櫻),2016-08-11,否,
573,DX/STD,月に叢雲華に風,DX,MASTER,12+,12.6,160,でらっくす (熊),2016-06-30,否,月に叢雲華に風|月遇丛云花遇风|月映丛云|摇摆阳|月风|月丛云华风|丛云伴月|小五|月云华风|月华|月丛云|闲云遮月清风袭花|月映从云花语风|丛云华|月从云华风|月隐於丛云花散於风
571,STD,fake!fake!,STD,MASTER,12+,12.9,156,PiNK+ (櫻),2016-06-30,否,fake!fake!|弹簧|万物皆虚|骗子|fake|假！假！|彩虹圈|假的假的|fakefake
549,STD,囲い無き世は一期の月影,STD,MASTER,12+,12.6,172,PiNK (桃),2016-02-04,否,囲い無き世は一期の月影|月影|妹红玉足
547,STD,フラグメンツ -T.V. maimai edit-,STD,MASTER,12+,12.8,160,PiNK (桃),2016-02-04,否,フラグメンツ -t.v. maimai edit-|tv|东方穿心莲|fragments|maimai edit|碎片|风见幽香|flower of life|少女幻葬
543,STD,イノコリ先生,STD,MASTER,12+,12.7,162,PiNK (桃),2016-01-21,否,イノコリ先生|留堂老师|先生|男同|男同老师|男同互瞪
542,STD,LOL -lots of laugh-,STD,MASTER,12+,12.7,138,PiNK (桃),2016-01-21,否,
539,STD,すろぉもぉしょん,STD,MASTER,12+,12.7,160,PiNK (桃),2015-12-09,否,
533,STD,言ノ葉遊戯,STD,MASTER,12+,12.7,164,PiNK (桃),2015-12-09,否,言ノ葉遊戯|言叶游戏|文字游戏|游戏
526,STD,Yet Another ”drizzly rain”,STD,MASTER,12+,12.6,175,ORANGE+ (暁),2015-11-12,否,yet another ”drizzly rain”|姆q|帕秋莉
521,STD,Sweet Devil,STD,MASTER,12+,12.7,132,ORANGE+ (暁),2015-07-16,否,
519,DX/STD,Change Our MIRAI！,DX,MASTER,12+,12.6,256,でらっくす (熊),2015-07-16,否,change our mirai！|改变未来|四对奶子|com|五个女人|五对奶子|中年男人|四大一小|五对柰子|小心彩绿|不含月铃姐妹|dx五对奶子|改变我们的未来
511,STD,若い力 -SEGA HARD GIRLS MIX-,STD,MASTER,12+,12.7,162,ORANGE+ (暁),2015-06-04,否,若い力 -sega hard girls mix-|若以力|世嘉少女|年轻的力量|sbga|sega社歌|sega|世嘉社歌|世嘉女孩|若力|世嘉硬件女孩|若力二次元版
507,STD,welcome to maimai!! with マイマイマー,STD,MASTER,12+,12.9,163,ORANGE+ (暁),2015-04-16,否,welcome to maimai!! with マイマイマー|maimai|go! go! 575|欢迎来到舞萌的世界
506,STD,悪戯,STD,MASTER,12+,12.9,140,ORANGE+ (暁),2015-04-16,否,悪戯|恶戏|恶习
495,STD,不毛！,STD,MASTER,12+,12.7,200,ORANGE (橙),2015-02-05,否,不毛！|不毛|木毛
491,STD,究極焼肉レストラン！お燐の地獄亭！,STD,MASTER,12+,12.7,185,ORANGE (橙),2015-01-08,否,究極焼肉レストラン！お燐の地獄亭！|究极烧肉|烤肉
482,STD,BETTER CHOICE,STD,MASTER,12+,12.9,130,ORANGE (橙),2014-11-13,否,better choice|更好选择|更好的选择|👄|烈焰红唇
476,STD,Dreampainter,STD,MASTER,12+,12.9,136,ORANGE (橙),2014-10-09,否,dreampainter|绘梦者|sta金曲|梦境绘画者|🎩
472,DX/STD,One Step Ahead,STD,MASTER,12+,12.7,186,ORANGE (橙),2014-09-18,否,one step ahead|向前一步|一步向前|一步个头
453,STD,からくりピエロ,STD,MASTER,12+,12.6,102,GreeN+ (檄),2014-07-17,否,からくりピエロ|🤡|活动沙口|活动小丑|小丑|派对小丑
451,STD,Brand-new Japanesque,STD,MASTER,12+,12.7,135,GreeN+ (檄),2014-06-17,否,brand-new japanesque|如龙0|如龙见参|全新日本人|如龙
446,STD,神々の祈り,STD,MASTER,12+,12.7,130,GreeN+ (檄),2014-05-15,否,神々の祈り|🍁|神明的祈祷|神祈
429,DX/STD,M.S.S.Planet,DX,MASTER,12+,12.9,145,FESTiVAL (祭),2014-03-20,否,m.s.s.planet|我是地球|妈杀杀星球|mss|dxmss
429,DX/STD,M.S.S.Planet,STD,MASTER,12+,12.6,145,GreeN+ (檄),2014-03-20,否,m.s.s.planet|我是地球|妈杀杀星球|mss|dxmss
427,STD,SPiCa,STD,MASTER,12+,12.8,162,GreeN+ (檄),2014-03-20,否,
419,STD,最速最高シャッターガール,STD,MASTER,12+,12.6,160,GreeN+ (檄),2014-02-26,否,最速最高シャッターガール|文文|最速最高
418,STD,お嫁にしなさいっ！,STD,MASTER,12+,12.8,180,GreeN+ (檄),2014-02-26,否,お嫁にしなさいっ！|婚礼|婚礼进行曲|女同7|东方萃翠酒醉|结婚|东方花嫁|萝莉嫁给我|嫁给我吧
416,STD,ぐるぐるWASH！コインランドリー・ディスコ,STD,MASTER,12+,12.6,132,GreeN+ (檄),2014-02-26,否,ぐるぐるwash！コインランドリー・ディスコ|咕噜咕噜|屏幕清洁工|suomi|咕噜咕噜wash|洗衣机|檄代主题曲|滚筒洗衣机|洗衣房
414,DX/STD,モザイクロール,STD,MASTER,12+,12.7,130,GreeN (超),2014-01-23,否,モザイクロール|标准马赛克卷|绿毛永雏塔菲|mosaic roll|马赛克卷|mozaik role|dx马赛克卷
413,DX/STD,天ノ弱,DX,MASTER,12+,12.8,200,Splash (爽),2014-01-23,否,天ノ弱|天之弱|天弱|若叶睦|标准天之弱|dx天弱|dx天之弱
412,STD,I ♥,STD,MASTER,12+,12.7,132,GreeN (超),2014-01-23,否,i ♥|ilove|我爱
409,STD,弱虫モンブラン,STD,MASTER,12+,12.7,120,GreeN (超),2014-01-09,否,弱虫モンブラン|iidx|若虫|胆小鬼|弱虫|我回来了|胆小鬼蒙布朗
404,DX/STD,＊ハロー、プラネット。,DX,MASTER,12+,12.8,150,BUDDiES (双),2013-11-14,否,"＊ハロー、プラネット。|hello planet|标准你好星球|你好星球|八口一|标准hello planet|dx你好星球|hello,planet."
404,DX/STD,＊ハロー、プラネット。,STD,MASTER,12+,12.8,150,GreeN (超),2013-11-14,否,"＊ハロー、プラネット。|hello planet|标准你好星球|你好星球|八口一|标准hello planet|dx你好星球|hello,planet."
401,STD,しゅわスパ大作戦☆,STD,MASTER,12+,12.7,140,GreeN (超),2013-10-03,否,しゅわスパ大作戦☆|下药歌|ymn|修哇大作战|炎拳|修哇|大作战
385,STD,Riders Of The Light,STD,MASTER,12+,12.6,143,GreeN (超),2013-08-07,否,riders of the light|坂本|光骑|光之骑士
381,STD,Ignite Infinity,STD,MASTER,12+,12.6,160,GreeN (超),2013-07-11,否,ignite infinity|psp2
379,STD,Burning Hearts ～炎のANGEL～,STD,MASTER,12+,12.7,155,GreeN (超),2013-07-11,否,burning hearts ～炎のangel～|炎天使|br|阳炎|烧心|炎之天使
376,STD,Backyun! －悪い女－,STD,MASTER,12+,12.7,140,GreeN (超),2013-07-11,否,backyun! －悪い女－|恶女|妖艳魔女|我异域了|坏女人|恶之女
371,STD,Pixel Voyage,STD,MASTER,12+,12.8,170,GreeN (超),2013-07-11,否,pixel voyage|飞机|小飞机|像素旅行
365,STD,神室雪月花,STD,MASTER,12+,12.7,86,GreeN (超),2013-07-11,否,神室雪月花|如龙|雪月花|别急4
363,STD,時空を超えて久しぶり！,STD,MASTER,12+,12.7,145,GreeN (超),2013-07-11,否,時空を超えて久しぶり！|噗哟噗哟|时空超|puyopuyo|时空|3d弹球|噗呦噗呦|3d弹珠|水滴君
357,DX/STD,脳漿炸裂ガール,DX,MASTER,12+,12.9,155,でらっくす (熊),2013-07-11,否,脳漿炸裂ガール|力一儿|脑浆炸裂少女|脑浆炸裂|脑浆炸裂女孩|脑浆炸裂谱|🤯👧|标🤯|脑浆炸裂力一儿|麦当劳1+1|脑裂|标脑浆|吸溜|标脑|脑浆|🤯|标准脑浆|dx脑浆炸裂|dx脑浆|脑瘫炸裂|brain fluid explosion girl
352,STD,ぴぴぱぷぅ！,STD,MASTER,12+,12.9,147,maimai+ (真),2013-05-09,否,ぴぴぱぷぅ！|比巴卜|噼噼啪噗|哔哔哔
348,STD,地上の戦士,STD,MASTER,12+,12.7,130,maimai+ (真),2013-04-23,否,地上の戦士|地上的战士|地上|樱花大战5|譜面-100号
345,DX/STD,39,DX,MASTER,12+,12.8,175,でらっくす (熊),2013-03-18,否,39|标39|初音未来|标准39|dx39|谢谢|三九|thank you|阿里嘎多
334,STD,Sky High [Reborn],STD,MASTER,12+,12.7,144,maimai+ (真),2013-02-20,否,sky high [reborn]|天高|天空高
331,STD,Natural Flow,STD,MASTER,12+,12.6,100,maimai+ (真),2013-01-17,否,natural flow|自然流
329,DX/STD,御旗のもとに,DX,MASTER,12+,12.9,147,BUDDiES+ (宴),2013-01-17,否,御旗のもとに|妹妹v50|御旗|dx御旗
329,DX/STD,御旗のもとに,STD,MASTER,12+,12.7,147,maimai+ (真),2013-01-17,否,御旗のもとに|妹妹v50|御旗|dx御旗
318,DX/STD,ゴーゴー幽霊船,STD,MASTER,12+,12.6,180,maimai+ (真),2012-12-13,否,ゴーゴー幽霊船|幽灵船|gogo幽灵船|憋憋憋
314,STD,ロミオとシンデレラ,STD,MASTER,12+,12.7,170,maimai+ (真),2012-12-13,否,ロミオとシンデレラ|罗密欧与辛德瑞拉|灰姑娘|罗密欧|罗密欧与仙度瑞拉|罗密欧与灰姑娘|口三才|罗密欧和辛德瑞拉|辛德瑞拉|罗密欧辛德瑞拉
312,STD,ダンシング☆サムライ,STD,MASTER,12+,12.7,142,maimai+ (真),2012-12-13,否,ダンシング☆サムライ|跳舞武士|茄子武士|茄子先生|茄子山|茄子哥|富士山茄子|dancing samurai|辣椒|🍆🗻|火山茄子|dancing☆samurai
310,STD,Catch The Future,STD,MASTER,12+,12.8,210,maimai (真),2012-11-07,否,catch the future|抓住未来|洋葱
306,STD,City Escape: Act1,STD,MASTER,12+,12.7,130,maimai (真),2012-11-07,否,city escape: act1|act1|索1|刺猬头跑酷
301,DX/STD,怪盗Rのテーマ,STD,MASTER,12+,12.7,147,maimai (真),2012-09-13,否,怪盗rのテーマ|节奏怪盗|怪盗|怪盗r的影之诗|怪盗r
285,STD,源平大戦絵巻テーマソング,STD,MASTER,12+,12.8,190,maimai (真),2012-07-11,否,源平大戦絵巻テーマソング|东雪莲大战罕见|源平大战绘卷|op大战东雪莲|叩大战东雪莲|源平1|op大战汉奸|原批大战罕见|源平大战|源平|op|淳平大战德川|原批大战东雪莲|op大战罕见|派蒙大战东雪莲
283,DX/STD,ハッピーシンセサイザ,DX,MASTER,12+,12.8,127,BUDDiES+ (宴),2012-07-11,否,ハッピーシンセサイザ|快乐合成器|断手器|dx快乐合成器|happy synthesizer|快乐断手器
278,STD,虹と太陽,STD,MASTER,12+,12.9,146,maimai (真),2012-07-11,否,虹と太陽|虹与太阳|彩虹太阳|金正恩|☀|\😭/|太阳|虹太阳
277,DX/STD,ネコ日和。,STD,MASTER,12+,12.6,171,maimai (真),2012-07-11,否,ネコ日和。|猫咪日和|大臣日和|猫日和|猫天气
259,DX,アマカミサマ,DX,MASTER,12+,12.7,174,FESTiVAL (祭),2022-11-04,否,アマカミサマ|天神|amakamisama|天神大人|美少女跳楼|阿妈卡密萨马
257,DX,アノーイング！さんさんウィーク！,DX,MASTER,12+,12.8,140,FESTiVAL (祭),2022-09-15,否,
256,DX,剣を抜け！GCCX MAX,DX,MASTER,12+,12.9,96,UNiVERSE+ (星),2022-06-10,否,
255,DX,オントロジー,DX,MASTER,12+,12.8,192,UNiVERSE+ (星),2022-06-10,否,
172,DX,アウトサイダー,DX,MASTER,12+,12.6,172,でらっくす (熊),2019-07-11,否,
167,DX,東奔西走行進曲,DX,MASTER,12+,12.6,165,でらっくす (熊),2019-12-20,否,
161,DX/STD,シュガーソングとビターステップ,STD,MASTER,12+,12.6,132,PiNK+ (櫻),2016-06-30,否,
146,STD,Arrival of Tears,STD,MASTER,12+,12.6,200,MiLK+ (雪),2018-09-04,否,
144,DX/STD,POP TEAM EPIC,DX,MASTER,12+,12.6,142,MiLK+ (雪),2018-06-21,否,
139,STD,Signs Of Love (“Never More” ver.),STD,MASTER,12+,12.6,109,ORANGE+ (暁),2015-08-13,否,
51,DX,愛のシュプリーム！,DX,MASTER,12+,12.6,135,UNiVERSE+ (星),2022-03-24,否,
49,DX,さんさーら！,DX,MASTER,12+,12.6,140,UNiVERSE (宙),2021-09-22,否,
48,DX,veil,DX,MASTER,12+,12.7,150,UNiVERSE (宙),2021-11-26,否,
39,DX,ビックカメラのテーマソング,DX,MASTER,12+,12.7,160,Splash+ (煌),2021-07-09,否,
33,DX,Pretender,DX,MASTER,12+,12.6,92,Splash (爽),2020-09-17,否,
25,DX,いつかいい感じにアレしよう,DX,MASTER,12+,12.9,144,でらっくす+ (華),2020-07-17,否,
17,STD,SHINY DAYS,STD,MASTER,12+,12.6,110,FiNALE (輝),2018-12-13,否,
15,STD,ガヴリールドロップキック,STD,MASTER,12+,12.7,168,MiLK (白),2018-04-17,否,
12,STD,あ・え・い・う・え・お・あお!!,STD,MASTER,12+,12.9,145,MiLK (白),2017-12-14,否,
10,DX/STD,Paradisus-Paradoxum,DX,MASTER,12+,12.8,201,でらっくす+ (華),2017-06-22,否,
1689,DX,テトリス,DX,MASTER,12,12,170,CiRCLE (丸),2025-09-18,否,
1681,DX,Unwelcome School,DX,MASTER,12,12.2,180,CiRCLE (丸),2025-09-18,否,
1621,DX,好きな惣菜発表ドラゴン,DX,MASTER,12,12.5,160,PRiSM+ (彩),2025-05-09,否,
1541,DX,演劇,DX,MASTER,12,12.5,176,PRiSM (鏡),2024-11-08,否,演劇|演剧
1539,DX,シリウスの輝きのように,DX,MASTER,12,12,158,PRiSM (鏡),2024-11-08,否,シリウスの輝きのように|天狼星
1380,DX,story,DX,MASTER,12,12.2,220,BUDDiES (双),2023-11-24,否,
1346,DX,熱異常,DX,MASTER,12,12.1,183,BUDDiES (双),2023-09-14,否,熱異常|热异常|冷正常|足立零
1334,DX,STARRED HEART,DX,MASTER,12,12.5,140,FESTiVAL+ (祝),2023-09-01,否,starred heart|星心
1309,DX,つるぺったん,DX,MASTER,12,12.5,180,FESTiVAL+ (祝),2023-06-08,否,つるぺったん|醋溜便当2|醋溜便当|伊吹萃香|萃香|西瓜|平胸之歌
1307,DX,花となれ,DX,MASTER,12,12.2,130,FESTiVAL+ (祝),2023-05-26,否,花となれ|幻化成花|像花一样呐|成为一朵花|变成一朵花|可不呲牙|化成花|变成花|成为花朵|可不花
1259,DX,回る空うさぎ,DX,MASTER,12,12,120,FESTiVAL (祭),2023-02-17,否,回る空うさぎ|月兔|月兔回旋于空中|回空|月下钢琴师
1218,DX,群青讃歌,DX,MASTER,12,12.4,168,FESTiVAL (祭),2022-10-07,否,群青讃歌|群青赞歌
1179,DX,紅に染まる恋の花,DX,MASTER,12,12.5,140,UNiVERSE+ (星),2022-07-01,否,紅に染まる恋の花|染红的恋之花|红染|红染恋花|我把树叶都染红|秋姐妹|烤红薯
1120,DX,なだめスかし Negotiation（TVsize）,DX,MASTER,12,12.5,150,UNiVERSE (宙),2022-01-28,否,
1104,DX,どぅーまいべすと！,DX,MASTER,12,12.4,128,UNiVERSE (宙),2021-11-26,否,どぅーまいべすと！|独立宣言|音街宣言|do mai best|do my best
1094,DX,アイドル新鋭隊,DX,MASTER,12,12.1,176,UNiVERSE (宙),2021-10-15,否,アイドル新鋭隊|偶像新锐队
1092,DX,ドラゴンエネルギー,DX,MASTER,12,12.5,148,UNiVERSE (宙),2021-10-15,否,ドラゴンエネルギー|hero|披萨歌|龙能量|dragon energy|薛之谦|冰火人2
1067,DX,約束,DX,MASTER,12,12,136,Splash+ (煌),2021-08-20,否,約束|约束|压库锁库|约定|码头
1066,DX,再会,DX,MASTER,12,12.2,137,Splash+ (煌),2021-08-20,否,再会|see you again|码头
1056,DX,電話革命ナイセン,DX,MASTER,12,12.5,145,Splash+ (煌),2021-07-09,否,
1049,DX,Melody！,DX,MASTER,12,12.2,175,Splash+ (煌),2021-06-11,否,melody！|旋律|melody|美乐蒂|东方绚彩歌|马老弟
1037,DX,幽霊東京,DX,MASTER,12,12.5,124,Splash+ (煌),2021-04-28,否,幽霊東京|幽灵东京|诱0东京|杨陵东京|幽灵京东|幽灵线东京|汐子|东京|黑子|幽灵北京
1022,DX,今、誰が為のかがり火へ,DX,MASTER,12,12.4,156,Splash+ (煌),2021-03-18,否,今、誰が為のかがり火へ|现在，为了谁的篝火|今谁为|今|今谁|今谁为火
1018,DX,雨とペトラ,DX,MASTER,12,12.4,195,Splash+ (煌),2021-03-18,否,雨とペトラ|雨伞|☂|雨|雨与佩特拉|雨和佩特拉|伞|佩特拉
1003,DX,Prismatic,DX,MASTER,12,12.2,180,Splash (爽),2021-02-05,否,prismatic|棱镜|🤗
991,DX,Virtual to LIVE,DX,MASTER,12,12.2,156,Splash (爽),2020-12-25,否,virtual to live|彩虹社|管人歌|彩虹社歌|管人痴|雨刷器|vtl|虚拟生活|雨刮器|上下反怒锤|虚拟到活|节拍器
969,DX,明星ギャラクティカ,DX,MASTER,12,12.4,154,Splash (爽),2020-10-01,否,明星ギャラクティカ|丢人银河号|明星卡拉狄加|超级方向盘|方向盘|银河号|明星|明星银河号
960,DX,乙女解剖,DX,MASTER,12,12.5,134,Splash (爽),2020-09-17,否,乙女解剖|解剖|乙女|紫璃|乙女姐婆
951,DX,ウマイネームイズうまみちゃん,DX,MASTER,12,12,184,でらっくす+ (華),2020-09-04,否,
944,DX,Oath Act,DX,MASTER,12,12.5,172,でらっくす+ (華),2020-08-21,否,oath act|涩涩青蛙子|宣誓行为|诹访子|ocean cat
931,DX,Catch the Wave,DX,MASTER,12,12.4,153,でらっくす+ (華),2020-06-26,否,catch the wave|10|抓波浪|歌姬计划|抓浪|ctw|👆🏻👌🏻|抓波
907,DX,スロウダウナー,DX,MASTER,12,12.5,194,でらっくす+ (華),2020-01-23,否,スロウダウナー|slow downer|up down|上下|↑↓|慢下来|slowdowner
902,DX,ハム太郎とっとこうた,DX,MASTER,12,12,140,でらっくす+ (華),2020-01-23,否,ハム太郎とっとこうた|哈姆|老鼠|鸭脖|鼠|哈姆太郎|鼠抓板|鸭脖太郎|仓鼠|鼠爹|鼠鼠|🐹|墨鼠|小耗子
891,DX,サヨナラチェーンソー,DX,MASTER,12,12.5,154,でらっくす (熊),2019-12-20,否,サヨナラチェーンソー|再见电锯|电锯缘兔|电锯人|电锯
888,DX,quiet room,DX,MASTER,12,12.5,93,でらっくす (熊),2019-11-29,否,quiet room|男同2|静屋|silentroom|qr
887,DX,だからパンを焼いたんだ,DX,MASTER,12,12,170,でらっくす (熊),2019-11-29,否,だからパンを焼いたんだ|烤面包|🍞|初音烤面包|烧面包|面包|铜锣烧|白葱烤面包|烧
886,DX,太陽系デスコ,DX,MASTER,12,12,150,でらっくす (熊),2019-11-29,否,太陽系デスコ|太阳系disco|👇🏻😐👆🏻👇🏻😐👆🏻|太阳系|太田顺也
883,DX,Agitation！,DX,MASTER,12,12,163,でらっくす (熊),2019-11-15,否,agitation！|agi|gbc|吉他姐2
864,DX,METEOR,DX,MASTER,12,12.4,170,でらっくす (熊),2019-08-22,否,meteor|流星|陨石
859,DX,Jump!! Jump!! Jump!!,DX,MASTER,12,12,183,でらっくす (熊),2019-07-26,否,jump!! jump!! jump!!|跳跳跳|jump|芳文跳|跳三下|元气少女蹦蹦蹦|三蹦子
853,DX,アディショナルメモリー,DX,MASTER,12,12.5,200,でらっくす (熊),2019-07-11,否,アディショナルメモリー|回忆追加|额外记忆
850,DX,HOT LIMIT,DX,MASTER,12,12,138,でらっくす (熊),2019-07-11,否,hot limit|太烧辣|热限|裸足|🥵|光吉熊|热限制|红熊|阳性|捆绑滴蜡熊|火辣限制|热极限
849,DX,STEREOSCAPE,DX,MASTER,12,12.4,164,でらっくす (熊),2019-07-11,否,stereoscape|玩手机|天体观测|立体镜
841,DX,BLACK ROSE,DX,MASTER,12,12.2,145,でらっくす (熊),2019-07-11,否,black rose|黑玫瑰|迪卢克|黑肉丝
831,STD,WORLD'S END UMBRELLA,STD,MASTER,12,12.5,180,FiNALE (輝),2019-06-07,否,world's end umbrella|世终伞|世末雨伞|世界终末雨伞|世末伞|世终雨伞|世界结束雨伞|☔|世终
827,STD,最終鬼畜妹フランドール・S,STD,MASTER,12,12.1,200,FiNALE (輝),2019-05-24,否,最終鬼畜妹フランドール・s|二小姐|蓝蓝路|最终鬼畜妹|鬼畜妹|二妹|最终鬼畜妹s|最终鬼畜妹芙兰朵露
823,STD,立ち入り禁止,STD,MASTER,12,12.1,160,FiNALE (輝),2019-04-26,否,立ち入り禁止|🚫|禁止进入|立入禁止|禁止寸止|后入群主|后入禁止
819,STD,true my heart -Lovable mix-,STD,MASTER,12,12.5,135,FiNALE (輝),2019-03-22,否,true my heart -lovable mix-|真我心|打电话
812,STD,隠然,STD,MASTER,12,12.5,210,FiNALE (輝),2019-02-22,否,隠然|隐然|引燃
803,STD,サウンド,STD,MASTER,12,12.5,160,FiNALE (輝),2019-01-25,否,
802,STD,結ンデ開イテ羅刹ト骸,STD,MASTER,12,12,169,FiNALE (輝),2019-01-25,否,結ンデ開イテ羅刹ト骸|罗刹骨骸|连起来又分开，罗刹与骨骸|八爷|结骸|分分合合的罗刹与骨骸|罗刹|罗刹与骨骸
788,STD,ヒバナ,STD,MASTER,12,12,200,FiNALE (輝),2018-12-13,否,ヒバナ|匕八十|大狙架miku|狙击初音未来|狙击初音|匕八卜|七八十|fufu遇刺|火花|hibana|k杀|爆头初音|初音未来被爆头|初音爆头|tsubaki|大狙架初音|7810|狙击fufu|大狙怼脸|狙初音|狙击小日本|狙击miku|大狙架fufu
767,STD,みんなの,STD,MASTER,12,12.5,190,MiLK+ (雪),2018-10-02,否,みんなの|兽道|獸道|大家的
766,STD,サドマミホリック,STD,MASTER,12,12.5,200,MiLK+ (雪),2018-10-02,否,サドマミホリック|灵梦撒钱|灵梦撒币|撒币|撒币的灵梦
761,STD,CYBER Sparks,STD,MASTER,12,12.5,192,MiLK+ (雪),2018-09-04,否,cyber sparks|黄色嘉然|魔理沙爆炸|魔光炮|🧹|endtime青春版|赛博火花|cs|小endtime|赛博斯派克|赛博炮|反恐精英|魔理沙
756,STD,彗星ハネムーン,STD,MASTER,12,12.5,145,MiLK+ (雪),2018-08-07,否,彗星ハネムーン|彗星|彗星蜜月
755,STD,インビジブル,STD,MASTER,12,12.3,192,MiLK+ (雪),2018-08-07,否,インビジブル|透明人|invisible|透明人间|建筑工地
729,STD,永遠のメロディ,STD,MASTER,12,12.5,155,MiLK (白),2018-05-08,否,永遠のメロディ|永远的旋律|永远的melody|永远的节奏|东方蓬千歌|永远
726,STD,fantastic dreamer,STD,MASTER,12,12.5,185,MiLK (白),2018-04-17,否,
703,STD,好き！雪！本気マジック,STD,MASTER,12,12.5,167,MiLK (白),2018-01-09,否,
700,STD,Tic Tac DREAMIN’,STD,MASTER,12,12.1,125,MiLK (白),2017-12-26,否,tic tac dreamin’|粉毛睡衣|⏰|emu|千早爱音|睡衣
691,DX/STD,ようこそジャパリパークへ,STD,MASTER,12,12.5,170,MiLK (白),2017-12-14,否,
690,STD,泡沫、哀のまほろば,STD,MASTER,12,12.5,155,MiLK (白),2017-12-14,否,泡沫、哀のまほろば|泡沫哀|妹红泡水|泡沫|藤原妹红
676,STD,Starlight Dance Floor,STD,MASTER,12,12.5,128,MURASAKi+ (菫),2017-10-17,否,starlight dance floor|大姐姐魔理沙|sdf|星光舞厅|星光大道|夜店魔理沙|星光舞池
672,STD,GET!! 夢&DREAM,STD,MASTER,12,12.4,150,MURASAKi+ (菫),2017-09-19,否,get!! 夢&dream|梦|火鸡帅哥2|学园handsome|get梦|下巴戳死人学园|getdream|取得梦和梦|获得梦和梦
632,STD,ココロ,STD,MASTER,12,12.5,140,MURASAKi (紫),2017-04-18,否,
