No.,分类,曲名,创作者,谱面,BPM,版本,别名
502,ゲキマイ,larva,ガリガリさむし,STD 4 | STD 8+ | STD 11+ | STD 14+,202,AMAZON,拉瓦|龟头结冰|说的道理
501,ORIGINAL,Climax,USAO,STD 4 | STD 9+ | STD 13 | STD 15,190,AMAZON,香草|高潮|妖艳魔男|魔男
500,ORIGINAL,Sqlupp,owl＊tree feat.yaki＊tree,STD 3 | STD 6 | STD 12 | STD 14,183,AMAZON,色情撸屁屁
499,ORIGINAL,Solstånd,Rigel Theatre feat.ミーウェル,STD 2 | STD 5 | STD 9+ | STD 13,136,AMAZON,
498,ORIGINAL,Life,Relect,STD 3 | STD 5 | STD 10 | STD 14,160,AMAZON,
497,ORIGINAL,中学2年生のアンドロイド,カルロス袴田(サイゼP) feat.あやぽんず＊,STD 3 | STD 8 | STD 10+ | STD 14,260,AMAZON,
496,ORIGINAL,コモリの怪物,盛るP feat.鈴森あおい,STD 4 | STD 7 | STD 11 | STD 14,255,AMAZON,
495,ORIGINAL,男装女形表裏一体発狂小娘の詐称疑惑と苦悩と情熱。,SLAVE.V-V-R feat.Fantastic Youth,STD 3 | STD 6 | STD 10 | STD 13+,190,AMAZON,男娘
494,ORIGINAL,Magic,niki feat.noire,STD 2 | STD 5 | STD 9 | STD 12,167,AMAZON,
493,ORIGINAL,涙色メモリア,キノシタ feat.YURiCa/花たん,STD 3 | STD 6 | STD 9+ | STD 12+,202,AMAZON,
492,ORIGINAL,スピカの天秤,Acotto,STD 4 | STD 8 | STD 12 | STD 14+,252,AMAZON,天平|天秤
491,ORIGINAL,StufeStern,Feryquitous,STD 3 | STD 5 | STD 10 | STD 14,140,AMAZON,ss
490,ORIGINAL,夕焼けのRed Parade,technoplanet,STD 4 | STD 8 | STD 13 | STD 14+,290,AMAZON,夕烧
489,ORIGINAL,ぜったい！昇天★鎮魂歌♂,NirNo,STD 4 | STD 6 | STD 9+ | STD 14,220,AMAZON,
488,ORIGINAL,2DVenture,dawn-system,STD 3 | STD 7 | STD 9+ | STD 13,210,AMAZON,
487,ORIGINAL,folern,ぬゆり,STD 4 | STD 8 | STD 13+ | STD 14+,200,AMAZON,佛冷
486,ORIGINAL,Summer is over,TORIENA,STD 3 | STD 6 | STD 9+ | STD 13+,175,AMAZON,
485,ORIGINAL,ハートアタック,Omoi feat.+α/あるふぁきゅん。,STD 3 | STD 7 | STD 10 | STD 14,225,AMAZON,心脏病|心攻击
484,ORIGINAL,Blaster Heaven,カヒーナムジカ,STD 3 | STD 6 | STD 9 | STD 12,166,AMAZON,
483,ORIGINAL,Seagull,Snail's House,STD 3 | STD 6 | STD 9 | STD 13+,176,AMAZON,海鸥
482,ORIGINAL,足立オウフwwww,笑う角を曲がる,STD 3 | STD 6 | STD 10+ | STD 14,175,AMAZON,
481,ORIGINAL,FRIDAY FRIDAY,emon(Tes.) feat.松平なな,STD 2 | STD 5 | STD 8 | STD 11,120,AMAZON,
480,ORIGINAL,Blessed,Palme,STD 3 | STD 5 | STD 9+ | STD 13+,165,AMAZON,
479,ORIGINAL,PAST,164 feat.ウォルピスカーター,STD 3 | STD 6 | STD 9+ | STD 13+,200,AMAZON,
478,ORIGINAL,朝焼けプラットホーム,40mP feat.シャノ,STD 3 | STD 5 | STD 9 | STD 11+,174,AMAZON,
477,イロドリミドリ,Fire me up,御形 アリシアナ(CV:福原 綾香)＆天王洲 なずな(CV:山本 彩乃),STD 3 | STD 5 | STD 9 | STD 12,161,AMAZON,
476,イロドリミドリ,ライトスピード・デイズ,明坂 芹菜(CV:新田 恵海)＆小仏 凪(CV:佐倉 薫),STD 3 | STD 5 | STD 9+ | STD 13+,174,AMAZON,
475,イロドリミドリ,Black'n White JAMMIN' CATS,箱部 なる(CV:M・A・O)＆月鈴 白奈(CV:高野 麻里佳),STD 3 | STD 6 | STD 9 | STD 12,135,AMAZON,
474,イロドリミドリ,オーケー？　オーライ！,五十嵐 撫子(CV:花井 美春),STD 3 | STD 6 | STD 9 | STD 11+,150,AMAZON,
473,VARIETY,Black Lair,削除 feat. void (Mournfinale),STD 2 | STD 6 | STD 9 | STD 13+,150,AMAZON,黑骗子
472,VARIETY,Papyrus,papyrus (orangentle),STD 3 | STD 5 | STD 9 | STD 13+,150,AMAZON,
471,VARIETY,Parousia,xi,STD 4 | STD 7 | STD 10+ | STD 14 | STD 15,158,AMAZON,帕罗西亚|拍肉丝
470,VARIETY,PUPA,モリモリあつし,STD 4 | STD 7 | STD 11+ | STD 14+,202,AMAZON,蝴蝶|扑爬|蓝色蝴蝶|蓝蝴蝶
469,VARIETY,Nhelv,Silentroom,STD 3 | STD 6 | STD 13 | STD 14+,175,AMAZON,你和驴
468,VARIETY,全ての人の魂の戦い (Daisuke Asakura Remix),目黒将司 Remixed by 浅倉大介「ペルソナ3 ダンシング・ムーンナイト」,STD 3 | STD 6 | STD 8+ | STD 12+,175,,
467,VARIETY,"Mass Destruction (""P3"" + ""P3F"" ver.)",目黒将司「ペルソナ3 ダンシング・ムーンナイト」,STD 2 | STD 5 | STD 9 | STD 12,119,,
466,VARIETY,GROOVY,小塚良太「ペルソナ5 ダンシング・スターナイト」,STD 3 | STD 6 | STD 9+ | STD 13,178,,
465,VARIETY,Blooming Villain (ATLUS Konishi Remix),目黒将司 Remixed by 小西利樹「ペルソナ5 ダンシング・スターナイト」,STD 2 | STD 5 | STD 9+ | STD 13,118,,
464,VARIETY,Taiko Drum Monster,steμ feat.siroa「太鼓の達人」より,STD 3 | STD 7 | STD 11 | STD 14,266,AMAZON,太鼓|太鼓怪兽
463,VARIETY,GERBERA,"BEMANI Sound Team ""TAG""「SOUND VOLTEX」より",STD 4 | STD 8 | STD 11+ | STD 14+,205,AMAZON,雅迪|大奈子|儿歌|Grace|几把热
462,VARIETY,ouroboros -twin stroke of the end-,Cranky VS MASAKI「グルーヴコースター 3EX ドリームパーティー」より,STD 3 | STD 8 | STD 10+ | STD 14+,188,AMAZON,衔尾蛇
461,VARIETY,Brain Power,NOMA,STD 3 | STD 7 | STD 11 | STD 14,173,AMAZON,地雷|脑力
460,東方Project,ナイト・オブ・ナイツ (Cranky Remix),ビートまりお × Cranky,STD 3 | STD 6 | STD 10 | STD 14,180,AMAZON,cranky夜骑|夜骑
459,東方Project,Paranoia,DiGiTAL WiNG feat. 花たん,STD 3 | STD 5 | STD 9+ | STD 12+,150,AMAZON,
458,東方Project,WARNING!,NJK Record,STD 3 | STD 5 | STD 9+ | STD 13,164,AMAZON,
457,東方Project,究極焼肉レストラン！お燐の地獄亭！,ARM＋夕野ヨシミ (IOSYS) feat.藤枝あかね,STD 3 | STD 6 | STD 8 | STD 12,185,AMAZON,
456,東方Project,聖少女サクリファイス,Silver Forest,STD 2 | STD 5 | STD 9 | STD 13+,168,AMAZON,
455,東方Project,地獄の端にて君を待つ,石鹸屋,STD 3 | STD 6 | STD 9+ | STD 13,188,AMAZON,
454,niconico,シャルル,バルーン,STD 3 | STD 5 | STD 8 | STD 11+,145,,夏露露
453,niconico,輪廻転生,まふまふ,STD 3 | STD 6 | STD 9+ | STD 13+,196,AMAZON,轮回转生
452,niconico,おちゃめ機能,ろん,STD 2 | STD 5 | STD 8 | STD 12+,150,,天真烂漫机能
451,niconico,バレリーコ,みきとP,STD 3 | STD 5 | STD 9 | STD 11+,150,AMAZON,芭蕾舞者
450,niconico,DAYBREAK FRONTLINE,Orangestar,STD 2 | STD 5 | STD 9 | STD 11+,136,AMAZON,黎明前线
449,niconico,フリィダム ロリィタ,ねじ式,STD 2 | STD 5 | STD 8+ | STD 11+,150,AMAZON,自由的洛丽塔
448,niconico,ブリキノダンス,日向電工,STD 3 | STD 5 | STD 9 | STD 13,172,AMAZON,马口铁之舞
447,niconico,ミリオン／ワンズ,じん×kemu,STD 3 | STD 6 | STD 9+ | STD 13+,195,AMAZON,million ones
446,VARIETY,むしとりのうた,清水一人(歌：近藤佳奈子)「新甲虫王者ムシキング」,STD 1 | STD 4 | STD 7 | STD 11,127,STAR PLUS,
445,東方Project,きゅうりバーにダイブ,ゆずひこ feat.めらみぽっぷ,STD 3 | STD 5 | STD 9+ | STD 14,176,STAR PLUS,黄瓜
444,niconico,放課後ストライド,Last Note.,STD 3 | STD 6 | STD 9+ | STD 12,225,STAR PLUS,放课后stride
443,東方Project,チルノおかんのさいきょう☆バイブスごはん,D.watt feat. ビートまりお (COOL&CREATE),STD 3 | STD 6 | STD 9+ | STD 13,204,STAR PLUS,
442,ゲキマイ,咲キ誇レ常世ノ華,Sou×マチゲリータ,STD 3 | STD 6 | STD 9 | STD 12+,210,STAR PLUS,
441,東方Project,つるぺったん,Silver Forest,STD 3 | STD 6 | STD 8+ | STD 12+,180,STAR PLUS,贫乳便当
440,niconico,初音ミクの激唱,Storyteller,STD 5 | STD 8+ | STD 13 | STD 14+,200,STAR PLUS,初音未来的激唱|初音未来激唱|机场|激唱
439,VARIETY,Candyland Symphony,Kai「Wonderland Wars」,STD 3 | STD 7 | STD 10 | STD 12+,120,STAR PLUS,
438,東方Project,サドマミホリック,ビートまりお（COOL&CREATE）,STD 3 | STD 6 | STD 11+ | STD 14 | STD 14+,200,STAR PLUS,灵梦撒币|撒币|灵梦撒比
437,東方Project,ゆけむり魂温泉 II,魂音泉,STD 2 | STD 4 | STD 8+ | STD 12+,140,STAR PLUS,
436,niconico,アンノウン・マザーグース,wowaka,STD 3 | STD 6 | STD 9 | STD 13+,222,STAR PLUS,不为人知的鹅妈妈童谣|鹅妈妈
435,VARIETY,volcanic,DETRO a.k.a ルゼ,STD 4 | STD 9 | STD 11+ | STD 14,191,STAR PLUS,火山|猩猩|臀萌金曲|小猩猩
434,VARIETY,End Time,Cres.,STD 3 | STD 8 | STD 13+ | STD 15,180,AMAZON,雅迪|et
433,ORIGINAL,業 -善なる神とこの世の悪について-,光吉猛修 VS 穴山大輔,STD 4 | STD 9+ | STD 14 | STD 15+,190,STAR PLUS,业善|雅迪|gou|业|红耶
432,ORIGINAL,Surveiller et punir,cybermiso,STD 3 | STD 7 | STD 12 | STD 15,145,STAR PLUS,法国人|监视|法|et
431,ORIGINAL,Drivessover,Taishi,STD 3 | STD 7 | STD 11 | STD 13+,182,STAR PLUS,
430,ORIGINAL,Dual Fractal,M2U,STD 2 | STD 6 | STD 10+ | STD 13+,160,STAR PLUS,
429,イロドリミドリ,Change Our MIRAI！ (Our 7 Lights),イロドリミドリ,STD 3 | STD 5 | STD 8+ | STD 13,256,STAR PLUS,
428,東方Project,Floating Darkness,Tatsh feat. 月子,STD 3 | STD 6 | STD 9+ | STD 13+,182,STAR PLUS,
427,東方Project,Spring of Dreams,3L (NJK Record),STD 3 | STD 5 | STD 8+ | STD 12,153,STAR PLUS,
426,東方Project,Scream out! -CHUNITHM Tuning-,A-One,STD 3 | STD 6 | STD 9+ | STD 12+,165,STAR PLUS,
425,東方Project,ウサテイ,あまね＋ビートまりお(COOL＆CREATE),STD 3 | STD 6 | STD 9+ | STD 13+,190,AMAZON PLUS,
424,イロドリミドリ,ここで一席！　Oshama Scramble!,なずな師匠＆小仏亭ちゃんなぎ(イロドリミドリ),STD 3 | STD 6 | STD 9+ | STD 13,212,STAR PLUS,
423,イロドリミドリ,管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2,月鈴 那知（ヴァイオリン） 伴奏：イロドリミドリ,STD 3 | STD 7 | STD 12 | STD 14+,180,STAR PLUS,地雷|二长调|管弦乐组曲
422,VARIETY,Chocolate Happy,Carotte☆（ripple＆めらみぽっぷ）,STD 3 | STD 5 | STD 9 | STD 11+,180,STAR PLUS,
421,VARIETY,Super Lovely (Heavenly Remix),EarBreaker feat. Mes w/光吉猛修,STD 4 | STD 6 | STD 9+ | STD 14,170,AMAZON PLUS,
420,POPS & ANIME,TOMORROW,Machico「この素晴らしい世界に祝福を！2」,STD 2 | STD 5 | STD 9 | STD 11,134,STAR PLUS,
419,niconico,頓珍漢の宴,ピノキオピー,STD 3 | STD 6 | STD 10 | STD 14,145,STAR PLUS,顿珍汉之宴
418,niconico,ゴーストルール,DECO*27,STD 3 | STD 5 | STD 9+ | STD 13+,210,STAR PLUS,幽灵法则|初音未来
417,niconico,StargazeR,骨盤P,STD 2 | STD 5 | STD 8+ | STD 12+,195,STAR PLUS,
416,niconico,厨病激発ボーイ,れるりり,STD 3 | STD 5 | STD 9 | STD 13,190,STAR PLUS,厨病激发
415,ORIGINAL,"NYAN-NYA, More! ラブシャイン、Chu♥",片霧烈火オンザみんマンション,STD 3 | STD 6 | STD 10+ | STD 13,158,STAR PLUS,
414,ORIGINAL,サンシャインサマー☆夏期講習,solfa feat.茶太,STD 3 | STD 6 | STD 11 | STD 13+,240,STAR PLUS,
413,ORIGINAL,Sentimental Snow,霜月はるか,STD 2 | STD 4 | STD 8 | STD 11,114,STAR PLUS,
412,イロドリミドリ,クレッシェンド・ストーリー,月鈴 白奈(CV:高野 麻里佳),STD 3 | STD 6 | STD 9 | STD 12+,180,STAR PLUS,
411,POPS & ANIME,ぶれいくるみるくらぶ！,みるくちゃん「ツインエンジェルBREAK」,STD 3 | STD 5 | STD 9 | STD 12+,197,STAR PLUS,
410,POPS & ANIME,ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」,STD 3 | STD 5 | STD 8+ | STD 13,238,STAR PLUS,
409,POPS & ANIME,碧き孤島のアングゥィス,電気式華憐音楽集団,STD 3 | STD 6 | STD 9+ | STD 13+,197,STAR PLUS,
408,VARIETY,La Flesvelka,Grand Thaw / Rigel Theatre,STD 3 | STD 6 | STD 9 | STD 13,134,STAR PLUS,
407,POPS & ANIME,ゴーゴー幽霊船,米津玄師,STD 3 | STD 5 | STD 9+ | STD 13,180,STAR PLUS,幽灵船
406,niconico,マトリョシカ,ハチ,STD 3 | STD 6 | STD 9+ | STD 12+,205,STAR PLUS,
405,POPS & ANIME,ネ！コ！,パトリシア・オブ・エンド(CV：高森奈津美)、黒木 未知(CV：仙台エリ)、夕莉 シャチ(CV：浅川悠)、明日原 ユウキ(CV：種﨑敦美)「ノラと皇女と野良猫ハート」,STD 3 | STD 6 | STD 9 | STD 11+ | STD 14,182,STAR PLUS,
404,東方Project,Grip & Break down !!,SOUND HOLIC feat. Nana Takahashi,STD 3 | STD 6 | STD 9+ | STD 12+,160,AMAZON,
403,東方Project,WARNING×WARNING×WARNING,暁Records,STD 3 | STD 5 | STD 9+ | STD 12+,172,STAR PLUS,
402,ゲキマイ,ねぇ、壊れタ人形ハ何処へ棄テらレるノ？,cosMo＠暴走P,STD 4 | STD 8 | STD 12+ | STD 14+,188,STAR PLUS,坏人形|坏人偶
401,ORIGINAL,Twilight,Pa's Lam System,STD 3 | STD 6 | STD 11 | STD 14,160,STAR PLUS,屎|地雷
400,ORIGINAL,CHOCOLATE BOMB!!!!,YUC'e,STD 3 | STD 7 | STD 10+ | STD 14,190,STAR PLUS,
399,ORIGINAL,はちみつアドベンチャー,Yunomi feat.nicamoq,STD 3 | STD 5 | STD 9 | STD 12+,160,STAR PLUS,
398,ORIGINAL,Pastel Party,Tomggg,STD 2 | STD 6 | STD 10+ | STD 14,125,STAR PLUS,
397,ORIGINAL,popcorn,happy machine,STD 2 | STD 6 | STD 9+ | STD 12,130,STAR PLUS,
396,イロドリミドリ,Very! Merry!! Session!!!,明坂 芹菜(CV:新田 恵海),STD 3 | STD 6 | STD 9 | STD 12+,180,STAR PLUS,
395,POPS & ANIME,青春サイダー,SPRiNGS「温泉むすめ」,STD 3 | STD 5 | STD 9 | STD 12+,160,STAR PLUS,
394,POPS & ANIME,純情-SAKURA-,SPRiNGS「温泉むすめ」,STD 3 | STD 6 | STD 9+ | STD 13+,174,STAR PLUS,
393,POPS & ANIME,未来イマジネーション！,SPRiNGS「温泉むすめ」,STD 3 | STD 5 | STD 9 | STD 11+,175,STAR PLUS,
392,ORIGINAL,otorii INNOVATED -[i]3-,NAOKI underground,STD 4 | STD 9+ | STD 13 | STD 15,210,STAR PLUS,大鸟居|鸟居|电所有人前列腺|电所有人|前列腺
391,イロドリミドリ,イロドリミドリ杯花映塚全一決定戦公式テーマソング『ウソテイ』,イロドリミドリ,STD 3 | STD 6 | STD 9+ | STD 12+,190,STAR PLUS,
390,niconico,レトロマニア狂想曲,PolyphonicBranch「#コンパス」,STD 3 | STD 5 | STD 9+ | STD 13+,180,STAR PLUS,复古疯狂狂想曲
389,niconico,グラーヴェ,niki「#コンパス」,STD 2 | STD 5 | STD 9 | STD 12,185,STAR PLUS,grave
388,niconico,キレキャリオン,ポリスピカデリー「#コンパス」,STD 2 | STD 5 | STD 9 | STD 13,170,STAR PLUS,电锯娘
387,niconico,アルカリレットウセイ,かいりきベア「#コンパス」,STD 3 | STD 5 | STD 8+ | STD 11,158,STAR PLUS,碱性劣等生
386,niconico,ダンスロボットダンス,ナユタン星人「#コンパス」,STD 3 | STD 6 | STD 9 | STD 12+,190,STAR PLUS,dance robot dance
385,ORIGINAL,Gate of Doom,Masahiro “Godspeed” Aoki,STD 4 | STD 8 | STD 13 | STD 14+,208,STAR PLUS,god|螃蟹2
384,ORIGINAL,Sparking Revolver,xi,STD 4 | STD 7+ | STD 11+ | STD 14+,357,STAR PLUS,手枪老头|地雷|闪光左轮|左轮|xi左轮|357
383,イロドリミドリ,ポルカドット,天王洲 なずな(CV:山本 彩乃),STD 3 | STD 5 | STD 8 | STD 11,170,STAR PLUS,
382,東方Project,色は匂へど散りぬるを,幽閉サテライト,STD 2 | STD 5 | STD 8+ | STD 11,138,STAR PLUS,
381,VARIETY,Doppelganger,LeaF,STD 6 | STD 9+ | STD 12+ | STD 14+,280,STAR PLUS,分身|二重身
380,niconico,拝啓ドッペルゲンガー,kemu,STD 3 | STD 6 | STD 10 | STD 14,181,STAR PLUS,敬启|敬启我的分身
379,niconico,砂の惑星 feat. HATSUNE MIKU,ハチ,STD 3 | STD 5 | STD 8 | STD 12+,95,STAR,砂之惑星
378,ゲキマイ,AMAZING MIGHTYYYY!!!!,WAiKURO,STD 4 | STD 8+ | STD 12 | STD 14+,185,STAR,am
377,niconico,Change me,shu-t,STD 3 | STD 6 | STD 9+ | STD 13,135,STAR,
376,ORIGINAL,BlazinG AIR,kanone,STD 3 | STD 6 | STD 10 | STD 14,150,STAR PLUS,中杯|提丰
375,POPS & ANIME,終わりなき物語,クーナ(CV.喜多村英梨)「PHANTASY STAR ONLINE 2」,STD 3 | STD 5 | STD 8 | STD 12+,150,STAR,
374,POPS & ANIME,Cosmic twinkle star,クーナ(CV.喜多村英梨)「PHANTASY STAR ONLINE 2」,STD 3 | STD 5 | STD 8+ | STD 12+,175,STAR,
373,東方Project,チルノのパーフェクトさんすう教室　⑨周年バージョン,IOSYSと愉快な⑨周年フレンズ,STD 3 | STD 5 | STD 9+ | STD 14,175,STAR,九周年|算数|算数教室|9周年|9
372,POPS & ANIME,ようこそジャパリパークへ,どうぶつビスケッツ×PPP「けものフレンズ」,STD 3 | STD 5 | STD 9+ | STD 12,170,,
371,POPS & ANIME,Paradisus-Paradoxum,MYTH & ROID「Re:ゼロから始める異世界生活」,STD 3 | STD 6 | STD 9 | STD 13,201,STAR,papa
370,VARIETY,ETERNAL DRAIN,カラフル・サウンズ・ポート,STD 3 | STD 5 | STD 9+ | STD 13+,149,STAR,
369,ゲキマイ,高気圧ねこロック,小野隊長とJimmy親分,STD 3 | STD 6 | STD 10 | STD 13,260,AMAZON,高气压
368,niconico,WAVE,niki,STD 3 | STD 5 | STD 8 | STD 12+,130,STAR,
367,niconico,ヒビカセ,GigaReol,STD 3 | STD 5 | STD 9 | STD 13,140,STAR PLUS,让其响彻
366,niconico,木彫り鯰と右肩ゾンビ,hanzo,STD 3 | STD 5 | STD 9+ | STD 12+,150,STAR,木雕
365,niconico,Absolunote,Lemm,STD 3 | STD 6 | STD 9+ | STD 13,189,STAR,
364,niconico,フラジール,ぬゆり,STD 2 | STD 5 | STD 9 | STD 11+,127,STAR,易碎
363,niconico,サイバーサンダーサイダー,EZFG,STD 3 | STD 5 | STD 10 | STD 14,145,CHUNITHM NEW,Cyber Thunder Cider
362,VARIETY,G e n g a o z o,-45,STD 4 | STD 8 | STD 13+ | STD 14+,153,STAR,跟哥走|gengaozo|晋高祖
361,東方Project,Melody！,あ～るの～と（いえろ～ぜぶら）,STD 3 | STD 6 | STD 9 | STD 12,175,STAR,
360,東方Project,Calamity Fortune,LeaF,STD 4 | STD 8+ | STD 11+ | STD 14+,200,STAR,cf|穿越火线
359,niconico,スイートマジック,ろん×Junky,STD 2 | STD 5 | STD 8 | STD 11+,123,STAR,
358,POPS & ANIME,Clover Heart's,真理絵,STD 2 | STD 5 | STD 8+ | STD 11+,156,STAR,
357,イロドリミドリ,プリズム,御形 アリシアナ(CV:福原 綾香),STD 2 | STD 5 | STD 8 | STD 11+,140,STAR,
356,ゲキマイ,Caliburne ～Story of the Legendary sword～,Project Grimoire,STD 4 | STD 8 | STD 12+ | STD 14+,190,STAR,圣剑|生煎|生煎1|圣剑1
355,ゲキマイ,D✪N’T ST✪P R✪CKIN’ ～[✪_✪] MIX～,EB (aka EarBreaker),STD 3 | STD 6 | STD 9+ | STD 13,140,STAR,dsr|星星
354,ゲキマイ,L'épilogue,SOUND HOLIC feat. Nana Takahashi,STD 2 | STD 5 | STD 9+ | STD 13,145,STAR,lepilogue|钟离
353,ゲキマイ,Hyper Active,HiTECH NINJA,STD 3 | STD 7 | STD 10+ | STD 14,160,STAR,泥头车
352,ORIGINAL,EXECUTOR,doriko feat.VALSHE,STD 3 | STD 6 | STD 9 | STD 13+,181,STAR,
351,ORIGINAL,Rendezvous,Crusher-P,STD 3 | STD 7 | STD 10 | STD 13+,160,STAR,
350,ORIGINAL,時の冒険者,40mP feat.シャノ,STD 3 | STD 6 | STD 9+ | STD 13+,192,STAR,
349,ORIGINAL,The Darkness of Valhalla,うたたP,STD 3 | STD 5 | STD 9+ | STD 13+,128,STAR PLUS,
348,ORIGINAL,bubble attack,HALFBY,STD 2 | STD 6 | STD 10+ | STD 14,130,STAR,
347,ORIGINAL,La Baguette Magique,OSTER project feat.ジェム,STD 2 | STD 5 | STD 9 | STD 13,230,STAR,
346,イロドリミドリ,夢と夢～あの日のメロディ～,月鈴姉妹(イロドリミドリ),STD 2 | STD 4 | STD 8 | STD 11,123,STAR,
345,イロドリミドリ,-OutsideR:RequieM-,箱部 なる(CV:M・A・O),STD 3 | STD 6 | STD 10+ | STD 13+,181,STAR,
344,ゲキマイ,VERTeX,Hiro「maimai」より,STD 4 | STD 8+ | STD 12 | STD 14+,237,STAR,水神|vertex|芙宁娜
343,POPS & ANIME,Our Fighting,クーナ(CV.喜多村英梨)「PHANTASY STAR ONLINE 2」,STD 3 | STD 6 | STD 9 | STD 11+,165,STAR,
342,VARIETY,Burning Hearts ～炎のANGEL～,光吉猛修「バーニングレンジャー」,STD 3 | STD 5 | STD 9+ | STD 13+,155,STAR,
341,POPS & ANIME,セハガガガンバッちゃう！！,Hi☆sCoool! セハガール,STD 3 | STD 6 | STD 9+ | STD 13,202,STAR,
340,イロドリミドリ,イロトリドリのメロディ,小仏 凪(CV:佐倉 薫),STD 3 | STD 5 | STD 9 | STD 13+,140,STAR,
339,niconico,卑怯戦隊うろたんだー,シンP,STD 3 | STD 5 | STD 9 | STD 12+,152,STAR,
338,niconico,Fire◎Flower,halyosy,STD 3 | STD 6 | STD 8 | STD 12+,175,STAR,
337,niconico,炉心融解,iroha(sasaki)／kuma(alfred),STD 3 | STD 5 | STD 8+ | STD 11+,165,STAR,
336,niconico,Just Be Friends,Dixie Flatline,STD 3 | STD 5 | STD 9 | STD 11+,128,STAR,
335,POPS & ANIME,ホシトハナ,讃州中学勇者部(照井春佳、三森すずこ、内山夕実、黒沢ともよ、長妻樹里)「結城友奈は勇者である」,STD 3 | STD 5 | STD 9 | STD 11,162,STAR,
334,VARIETY,Scarlet Lance,MASAKI（ZUNTATA）「グルーヴコースター 3EX ドリームパーティー」より,STD 4 | STD 7+ | STD 12 | STD 14+,185,STAR,红枪|sl|戟|红叉
333,VARIETY,極圏,cosMo VS dj TAKA「SOUND VOLTEX」より,STD 4 | STD 7 | STD 11+ | STD 14+,207,STAR,NTR|黄毛|极圈|人妻
332,VARIETY,セイクリッド　ルイン,Drop＆祇羽 feat. 葉月ゆら「太鼓の達人」より,STD 3 | STD 7 | STD 11 | STD 14,186,STAR,
331,ORIGINAL,Xevel,Tatsh,STD 4 | STD 8 | STD 12 | STD 15,185,STAR,高塔|X
330,イロドリミドリ,奏者はただ背中と提琴で語るのみ,月鈴 那知(CV:今村 彩夏),STD 4 | STD 7 | STD 10+ | STD 14,230,STAR,
329,ORIGINAL,Twice up Scenery,q/stol,STD 2 | STD 5 | STD 10 | STD 14,114,STAR,
328,ORIGINAL,Iudicium,Powerless feat.kakichoco,STD 3 | STD 7 | STD 11+ | STD 15,170,STAR,拉丁人|iud
327,ORIGINAL,macrocosmos,LeaF,STD 4 | STD 9+ | STD 13 | STD 15,42,STAR PLUS,宏宇宙|小猫过河|宏
326,ORIGINAL,World Vanquisher,void (Mournfinale),STD 4 | STD 9+ | STD 13+ | STD 15+,170,STAR,市政|世征|切比|噔噔噔|噔噔噔噔噔|mothervanquisher|mother vanquisher|世界征服者|wv
325,ORIGINAL,Wake up Dreamer,Junk,STD 3 | STD 6 | STD 9+ | STD 13,151,STAR,
324,東方Project,物凄い勢いでけーねが物凄いうた,Halozy,STD 3 | STD 6 | STD 9 | STD 12 | STD 13+,180,STAR PLUS,
323,東方Project,星色夜空,あ～るの～と（いえろ～ぜぶら＆電開製作所）,STD 2 | STD 4 | STD 8 | STD 10+,124,STAR PLUS,
322,東方Project,天狗の落とし文 feat. ｙｔｒ,魂音泉,STD 3 | STD 5 | STD 9+ | STD 12+,160,STAR,
321,東方Project,風に乗せた願い,豚乙女,STD 2 | STD 6 | STD 9+ | STD 13+,188,STAR,风乘
320,東方Project,Last Moments,NJK Record (3L&maria♂polo),STD 3 | STD 6 | STD 9 | STD 13+,168,STAR,
319,東方Project,ケロ⑨destiny,Silver Forest,STD 3 | STD 5 | STD 9+ | STD 13+,172,STAR,
318,POPS & ANIME,Vampire,電気式華憐音楽集団,STD 3 | STD 5 | STD 9+ | STD 13 | STD 15,175,STAR,
317,niconico,害虫,鬱P,STD 4 | STD 7 | STD 10 | STD 14,190,STAR,
316,niconico,のぼれ！すすめ！高い塔,きくお,STD 3 | STD 6 | STD 9+ | STD 14,142,STAR,高塔
315,niconico,パーフェクト生命,ナユタン星人,STD 3 | STD 6 | STD 10 | STD 13,200,STAR,完美生命
314,niconico,アマツキツネ,まらしぃ,STD 3 | STD 6 | STD 9 | STD 11+,190,STAR,天狐
313,niconico,Palette,ゆよゆっペ/meola,STD 3 | STD 5 | STD 8 | STD 12+,180,STAR,
312,niconico,エレクトロサチュレイタ,tilt-six,STD 2 | STD 5 | STD 9 | STD 12,141,STAR,电子饱和器
311,ORIGINAL,Glorious Crown (tpz over-Over-OVERCUTE REMIX),t+pazolite,STD 4 | STD 9+ | STD 13+ | STD 15,236,STAR,皇冠|荣耀皇冠
310,ORIGINAL,Kattobi KEIKYU Rider,Sampling Masters MEGA,STD 4 | STD 8 | STD 13 | STD 14+,220,STAR,叮叮电车|叮叮|电车|叮叮车
309,ORIGINAL,キラメケ→Shoot it Now!,t+pazolite feat.ななひら,STD 3 | STD 6 | STD 9+ | STD 13+,205,STAR,
308,ORIGINAL,哀しみ集め,幽閉サテライト,STD 2 | STD 5 | STD 9 | STD 12+,155,STAR,
307,ORIGINAL,WE GOTTA SOUL,魂音泉,STD 3 | STD 6 | STD 8 | STD 12+ | STD 13+,170,STAR,
